date,org_id,org_name,numerator,denominator,ratio,percentile,10th percentile,20th percentile,30th percentile,40th percentile,50th percentile,60th percentile,70th percentile,80th percentile,90th percentile
2014-08-01,,,1831610728.924,56539.123,32395.4570169757,,14846.195647550392,21672.320543801383,28617.975171305214,31547.082190712215,34284.246640408644,37611.58391999595,40939.06033970537,45823.30179471719,50300.03434371977
2014-09-01,,,1896908161.192,56539.123,33550.3640760753,,15260.39576581131,22754.097654356152,29728.15842312917,32457.74236931987,34854.16400074301,38017.86925216925,42690.36530898714,47030.82381252376,51568.303969022265
2014-10-01,,,1984374931.5,56799.084,34936.7417879486,,15488.160212175537,23061.937328750057,31039.98749964081,33784.61846911496,36451.08526657517,40191.28610475464,44410.45611907915,49107.445030368675,54609.36190491192
2014-11-01,,,1775248092.802,56799.084,31254.8718708562,,14650.793466981973,21383.152493399088,27935.469527266607,30161.346535505487,32800.130015205425,35947.637421373554,39878.73180522209,43573.317952822654,48683.39358972972
2014-12-01,,,2031017265.752,56799.084,35757.9228874888,,15666.82488366561,24135.373387136944,31639.92929018221,34584.15560061456,37251.108252888196,40700.54411390795,44880.14204162358,50239.88684998373,55887.42474054018
2015-01-01,,,1877755180.498,56933.117,32981.7736924188,,14696.131675371475,22254.406241046076,29551.081268318678,31907.111130817077,34756.19126307992,38246.119462025315,42038.738960888004,45955.087487175464,51122.73782052386
2015-02-01,,,1747452380.372,56933.117,30693.0741271728,,13659.57553949553,20617.16149612891,27528.682278748307,29654.707626867472,32540.795780701366,35369.96161526982,39277.02395801464,42499.77498913134,47421.553231316684
2015-03-01,,,1915914133.678,56933.117,33652.0154636536,,14969.888562930373,21915.38329295929,29726.6966034392,32368.453837971483,35374.13852517242,38514.601364774986,43127.63864592267,47873.19186531086,51787.731506130556
2015-04-01,,,1899873614.774,57016.207,33321.6415952397,,14587.626295823007,21431.855288003273,29216.81765248947,32001.353906371398,35485.14453622891,38123.5000464507,42451.41431753155,47260.91080229049,52257.07592162927
2015-05-01,,,1865541502.666,57016.207,32719.4950492936,,15128.122054608464,21086.05163981477,29544.966673496154,31641.664343062403,34604.98469945905,37492.69614474797,41420.170004133695,46278.95133615148,50512.96257472119
2015-06-01,,,1936694235.33,57016.207,33967.4337742249,,15105.754044400195,22778.4336825889,29998.159435389298,33031.825169420634,35880.281280662864,38783.53627271805,43506.58365054837,48095.63997235225,52776.86528191911
2015-07-01,,,2020537769.42,57128.612,35368.2279103858,,15811.785716975117,23226.783543445992,31568.21775768994,33969.28515380607,37295.157696460155,40457.58236885282,45462.45030002608,50095.22253870973,54623.61442212287
2015-08-01,,,1840486153.758,57128.612,32216.5389517603,,14092.334728117501,21183.26616970757,28531.44897974377,31127.013544459656,33668.31236173433,37209.49880845491,40801.2845047282,44789.890666459774,50252.379358845865
2015-09-01,,,1970644552.122,57128.612,34494.8788904936,,15605.413971706133,23080.168279800742,30313.085630041678,33080.595173579044,36722.401235347075,40163.14632921944,44286.2233133874,48295.71887639528,54029.87221636617
2015-10-01,,,1988165721.2,57361.542,34660.2558417973,,15504.813169885121,22281.540878081843,30498.192215601342,33721.48278565391,36293.283081406116,39514.62818752887,43910.87467399759,48501.905144694545,53817.174998003655
2015-11-01,,,1870174676.456,57361.542,32603.2845570295,,14872.93421128436,21885.478284080462,28861.578467533654,31529.46403829196,34963.059241953786,37312.99903637787,41654.80251806948,46070.82121864999,49961.87635508162
2015-12-01,,,2098473270.476,57361.542,36583.2785749728,,15808.805644833566,23346.95371411265,32584.20922303703,35541.99193350123,38940.47399751504,41862.57948930888,47356.44579155981,51969.90189721171,56613.89313662859
2016-01-01,,,1855762970.38,57536.37,32253.7374252147,,14803.57994150505,21213.16588476614,28750.25922466138,31085.933506943744,34237.61497757765,36571.93896244782,40871.373344583895,45167.04069260876,50628.07391117786
2016-02-01,,,1851895490.5,57536.37,32186.5194224105,,14778.338717368384,20897.42988281646,28091.09249204599,30890.063010488975,34518.96718972233,36735.11059190031,40966.351997223814,45495.64692753018,50105.976111925214
2016-03-01,,,1960892040.102,57536.37,34080.9133440639,,15028.101447792369,22416.477473951963,29706.33266271814,32904.88873598533,36683.86900157397,38882.97830095023,42982.41585451354,48405.17339507691,53844.04724399323
2016-04-01,,,2001979879.75,57631.911,34737.3502806457,,15361.200987294385,22659.61288817672,30491.883206864746,33783.66110000374,37448.786392817405,39944.46490575397,44171.326693135125,48475.772465655595,54498.88874713479
2016-05-01,,,1910057658.444,57631.911,33142.3620230813,,14829.263326546281,21510.30633252876,29091.119450857645,31991.399749741646,35607.0099718202,37700.82872928176,41817.2375124155,46664.39854015447,52015.0261108316
2016-06-01,,,1999567238.906,57631.911,34695.487347383,,15025.70163709779,23075.62701567921,30289.873639353034,33683.712904516826,37106.80543445726,40272.3419833972,44215.8936486068,48624.441368970394,53776.64240433943
2016-07-01,,,1952644755.062,57760.505,33805.8809399606,,15183.681778611128,21883.46816627205,29713.081146422606,32460.955441074937,36334.38825984784,38620.512306511766,43245.38632591394,47470.61111637156,53440.5879336578
2016-08-01,,,1980837173.918,57760.505,34293.9725668604,,15135.36835726917,22494.445287677343,29635.100314994444,32895.977178165376,36747.255339203206,39599.819611771134,43632.84128627952,48309.772525849345,52768.48692680279
2016-09-01,,,2010409043.45,57760.505,34805.9464412577,,15120.853215555522,22978.11152935463,30584.405959269414,33520.538273868166,37233.558317118834,40569.348455958076,44309.72752241515,49373.00160384427,54879.01200540981
2016-10-01,,,1918570656.18,57737.073,33229.4409205676,,14733.617018109651,21551.250566253573,29019.39487054141,32048.986104004416,35447.83797864027,38648.21519614532,42315.439339048506,46020.786552673526,51342.03530180866
2016-11-01,,,1964870827.402,57737.073,34031.3549909605,,15239.679993062176,22509.54486693711,29525.474706838995,32857.0284571131,36068.64858499337,39466.516122783214,43314.88187046402,47814.99618942409,53917.49734707881
2016-12-01,,,2058918564.628,57737.073,35660.2518563419,,15652.71606008923,23017.405878854504,31064.859367018158,34690.925364582035,38247.72611521198,40738.665126463646,45715.02186157664,49849.42568409749,57302.17572310112
2017-01-01,,,1901559769.71,58165.395,32692.2867060389,,14369.268024960897,21430.523697011435,28792.593903187873,31793.809696461947,34893.08234137378,37346.69274081465,42280.008671335614,45227.69057553479,50960.7648770505
2017-02-01,,,1784881730.514,58165.395,30686.3166753015,,13624.79935101921,19823.312754255487,26729.118640825232,29915.119849280036,33141.73875339283,35573.3658814725,38967.089604793524,42293.09577496547,48863.32535499758
2017-03-01,,,2047446594.866,58165.395,35200.4244940828,,15510.283197101176,23238.508203683927,30362.196624897013,34286.71815454156,37397.36047193996,41280.465326545396,45512.685193892474,49286.61282512451,56130.6778863407
2017-04-01,,,1846283817.478,58323.352,31655.9963405053,,14012.221132709106,20430.099110457373,27743.545933834597,30367.43596257031,33907.43189253932,37136.58328303094,40582.006682976324,44619.55985782348,51628.43888620356
2017-05-01,,,1968103716.854,58359.566,33723.7551912912,,14634.829581390992,21224.79893561395,29510.396571435125,32950.49865611018,35840.91474311059,39113.699712643676,43817.44994775121,48010.95815852136,53403.80224285052
2017-06-01,,,2002523044.398,58433.089,34270.3608292555,,15320.67887487398,22310.720071687516,30015.774907455943,33092.67924746817,36886.92299908935,40172.27766430091,44453.85731483019,48117.53501820098,54562.07689649654
2017-07-01,,,1931781938.108,58488.452,33028.433341132,,14828.316399197722,21582.572470933206,28484.17809316602,31873.43623791279,35962.45676164208,39028.82716049383,42722.33524836891,46393.232283974605,52949.16804144488
2017-08-01,,,1978811023.05,58534.735,33805.7569244996,,14639.93673443658,21961.30830617063,29379.242143543288,33122.42481333796,36575.51242279534,39290.88468052711,43474.38357264606,47736.82126231261,54021.708863470856
