,BNF_code,NAME,UNII_drugbank
0,0101010A0,Alexitol Sodium                                             ,[]
1,0101010B0,Almasilate                                                  ,[]
2,0101010C0,Aluminium Hydroxide                                         ,[]
3,0101010D0,Aluminium Hydroxide With Magnesium                          ,[]
4,0101010E0,Hydrotalcite                                                ,17432CG1KU
5,0101010F0,Magnesium Carbonate                                         ,0IHC698356
6,0101010G0,Co-Magaldrox(Magnesium/Aluminium Hydrox)                    ,[]
7,0101010I0,Magnesium Oxide                                             ,3A3U0GI71G
8,0101010J0,Magnesium Trisilicate                                       ,[]
9,0101010L0,Aluminium & Magnesium & Act Simeticone                      ,[]
10,0101010M0,Magaldrate                                                  ,6V88E24N5T
11,0101010N0,Aluminium & Magnesium & Oxetacaine                          ,IP8QT76V17
12,0101010P0,Co-Simalcite (Simeticone/Hydrotalcite)                      ,[]
13,0101010Q0,Magnesium Hydroxide                                         ,NBZ3QY004S
14,0101010R0,Simeticone                                                  ,[]
15,0101010S0,Calcium Carbonate & Simeticone                              ,SY7Q814VUP
16,0101010T0,Magnesium Sulphate                                          ,[]
17,0101010U0,Sodium Citrate                                              ,RS7A450LGA
18,010101000,Other Antacid & Simeticone Preps                            ,[]
19,0101012A0,Gripe Mixtures                                              ,[]
20,0101012B0,Sodium Bicarbonate                                          ,8MDF5V39QO
21,010101200,Other Sodium Bicarbonate Preps                              ,[]
22,0101021B0,Alginic Acid Compound Preparations                          ,[]
23,0101021C0,Calcium Carbonate                                           ,SY7Q814VUP
24,0101021E0,Bismuth Subcarbonate                                        ,[]
25,010102100,Compound Alginates&Prop Indigestion Prep                    ,[]
26,0102000AA,Clebopride                                                  ,I0A84520Y9
27,0102000AB,Hyoscyamine Sulfate                                         ,PX44XO846X
28,0102000AC,Atropine Sulfate                                            ,7C0697DR9I
29,0102000AD,Pinaverium Bromide                                          ,U2368VVE7O
30,0102000AE,Phloroglucinol                                              ,DHD7FFG6YS
31,0102000AG,Tegaserod Maleate                                           ,458VC51857
32,0102000AI,Lubiprostone                                                ,7662KG2R6K
33,0102000A0,Alverine Citrate                                            ,46TIR1560O
34,0102000B0,Ambutonium Bromide                                          ,[]
35,0102000C0,Alverine Citrate Compound Preparations                      ,46TIR1560O
36,0102000D0,Compound Antispasmodic Preparations                         ,[]
