,BNF_code,Drug_name,Mapped_Condition
346,0212000AI,Alirocumab,stroke
116,0210020V0,Alteplase,stroke
66,0208020Z0,Apixaban,stroke
118,0407010B0,Aspirin,stroke
83,0407010AA,Aspirin & Caffeine,stroke
73,0407010A0,Aspirin & Papaveretum,stroke
38,0407010S0,Aspirin & Paracetamol,stroke
312,0407010R0,Aspirin Phenacetin & Codeine(Codeine Co),stroke
205,0212000B0,Atorvastatin,stroke
277,0208020X0,Dabigatran Etexilate,stroke
206,0208010C0,Danaparoid Sodium,stroke
279,0209000L0,Dipyridamole,stroke
358,0209000V0,Dipyridamole & Aspirin,stroke
237,0208020AA,Edoxaban,stroke
340,0212000X0,Pravastatin Sodium,stroke
345,0208020Y0,Rivaroxaban,stroke
224,0212000Y0,Simvastatin,stroke
347,0212000AC,Simvastatin & Ezetimibe,stroke
74,0209000U0,Ticlopidine Hydrochloride,stroke
197,0208020V0,Warfarin Sodium,stroke
