"Fold","Type","Index","GeographyCode"
1,"Train",16417,"E01018991"
1,"Train",16412,"E01018983"
1,"Train",16416,"E01018989"
1,"Train",16418,"E01018992"
1,"Train",16419,"E01018993"
1,"Train",16411,"E01018982"
1,"Train",16410,"E01018981"
1,"Train",16424,"E01019004"
1,"Train",16427,"E01019007"
1,"Train",16319,"E01018876"
1,"Train",16421,"E01019000"
1,"Train",16414,"E01018986"
1,"Train",16413,"E01018985"
1,"Train",16407,"E01018978"
1,"Train",16422,"E01019002"
1,"Train",16423,"E01019003"
1,"Train",16415,"E01018987"
1,"Train",16420,"E01018994"
1,"Train",16406,"E01018976"
1,"Train",16341,"E01018903"
1,"Train",16342,"E01018904"
1,"Train",16324,"E01018881"
1,"Train",16282,"E01018833"
1,"Train",16299,"E01018851"
1,"Train",16275,"E01018825"
1,"Train",16336,"E01018898"
1,"Train",16316,"E01018873"
1,"Train",16274,"E01018824"
1,"Train",16349,"E01018914"
1,"Train",16269,"E01018819"
1,"Train",16302,"E01018856"
1,"Train",16283,"E01018834"
1,"Train",16318,"E01018875"
1,"Train",16350,"E01018915"
1,"Train",16261,"E01018808"
1,"Train",16280,"E01018830"
1,"Train",16344,"E01018909"
1,"Train",16337,"E01018899"
1,"Train",16294,"E01018845"
1,"Train",16262,"E01018810"
1,"Train",16314,"E01018871"
1,"Train",16313,"E01018870"
1,"Train",16288,"E01018839"
1,"Train",16330,"E01018892"
1,"Train",16322,"E01018879"
1,"Train",16348,"E01018913"
1,"Train",16267,"E01018817"
1,"Train",16354,"E01018919"
1,"Train",16263,"E01018812"
1,"Train",16278,"E01018828"
1,"Train",16306,"E01018860"
1,"Train",16329,"E01018891"
1,"Train",16298,"E01018850"
1,"Train",16300,"E01018853"
1,"Train",16353,"E01018918"
1,"Train",16328,"E01018890"
1,"Train",16301,"E01018854"
1,"Train",16276,"E01018826"
1,"Train",16325,"E01018883"
1,"Train",16409,"E01018980"
1,"Train",16287,"E01018838"
1,"Train",16289,"E01018840"
1,"Train",16311,"E01018868"
1,"Train",16270,"E01018820"
1,"Train",16333,"E01018895"
1,"Train",16315,"E01018872"
1,"Train",16408,"E01018979"
1,"Train",16320,"E01018877"
